fecha,A Coruña,Vigo,Ourense,Santiago,Lugo
1980-08-22 06:00:00,19.822662,22.02774,21.834381,20.041412,18.519928
1980-08-23 06:00:00,19.470978,18.87918,21.064728,19.351837,17.633087
1980-08-24 06:00:00,18.055695,16.553741,18.401398,17.249054,17.848663
1980-08-25 06:00:00,17.04483,16.097565,15.421783,15.640533,16.48233
1980-08-26 06:00:00,18.449371,18.439606,16.746246,17.707184,15.539215
1980-08-27 06:00:00,16.367462,15.611603,14.027618,15.086212,12.664337
1980-08-28 06:00:00,17.951324,17.494293,15.644684,17.95523,16.220856
1980-08-29 06:00:00,17.317291,18.049713,15.284088,14.32901,13.287994
1980-08-30 06:00:00,14.81839,17.820343,18.578156,14.896515,14.751984
1980-08-31 06:00:00,15.854401,14.9618225,10.748932,14.07901,12.799713
1980-09-01 06:00:00,15.723785,16.040192,11.897614,13.116364,12.053864
1980-09-02 06:00:00,14.004059,17.240387,15.718903,13.74234,12.386871
1980-09-03 06:00:00,16.289337,16.273712,14.943634,15.10965,14.693634
1980-09-04 06:00:00,15.222809,13.877106,12.500153,12.593903,11.297028
1980-09-05 06:00:00,16.435333,13.575958,12.702911,14.3142395,12.952911
1980-09-06 06:00:00,13.70755,13.387238,10.27005,10.813019,10.717316
1980-09-07 06:00:00,15.584137,14.519684,13.588043,14.226715,12.052887
1980-09-08 06:00:00,15.221222,15.898956,14.250519,14.215363,13.150909
1980-09-09 06:00:00,14.087311,12.393951,7.153717,11.712311,9.171295
1980-09-10 06:00:00,13.323151,12.8211975,8.61026,11.192291,9.709869
1980-09-11 06:00:00,12.5902405,15.166412,11.521881,11.328522,9.238678
1980-09-12 06:00:00,16.238556,16.16629,15.961212,15.580353,13.428009
1980-09-13 06:00:00,16.988678,14.920319,11.547272,15.594147,14.467194
1980-09-14 06:00:00,13.022858,13.136139,12.003326,11.333405,11.948639
1980-09-15 06:00:00,13.195465,14.27359,13.451324,11.857574,10.293121
1980-09-16 06:00:00,16.821686,17.917389,16.860748,15.688873,15.509186
1980-09-17 06:00:00,15.126007,16.608429,16.217804,14.493195,14.12796
1980-09-18 06:00:00,13.7621155,12.244537,12.361725,12.0433655,12.760162
1980-09-19 06:00:00,13.662018,13.480377,12.708893,12.079987,11.558502
1980-09-20 06:00:00,12.935455,12.882721,11.314362,11.749908,9.486237
1980-09-21 06:00:00,13.039459,12.795319,11.869537,11.906647,10.4652405
1980-09-22 06:00:00,14.130524,13.60318,12.737946,12.874664,11.577789
1980-09-23 06:00:00,16.014069,12.9711,10.289459,14.0433655,10.670319
1980-09-24 06:00:00,16.94107,15.075836,13.694977,15.015289,11.894196
1980-09-25 06:00:00,15.635895,12.606598,11.309723,14.08316,13.079254
1980-09-26 06:00:00,15.665192,15.471832,13.798004,15.594879,14.08316
1980-09-27 06:00:00,15.945831,15.572784,14.084503,15.510284,14.156769
1980-09-28 06:00:00,15.652008,15.519196,13.886383,14.536774,13.468414
1980-09-29 06:00:00,15.809235,15.500641,12.404938,14.961578,13.76236
1980-09-30 06:00:00,15.851227,15.958649,11.427399,14.234039,13.495758
1981-06-01 06:00:00,14.893463,15.395416,12.049713,14.057526,10.989166
1981-06-02 06:00:00,11.906158,11.871002,11.279205,10.974518,9.882721
1981-06-03 06:00:00,10.72818,10.950836,9.271149,9.60318,7.757477
1981-06-04 06:00:00,10.551178,9.785553,7.2796936,8.5589905,6.617584
1981-06-05 06:00:00,15.445465,14.931793,13.203278,14.58609,13.302887
1981-06-06 06:00:00,14.055939,14.065704,12.970001,14.432892,12.663361
1981-06-07 06:00:00,13.938385,13.426666,11.969635,12.692291,12.452057
1981-06-08 06:00:00,16.455475,16.103912,15.244537,15.7152405,15.000397
1981-06-09 06:00:00,12.799957,13.02066,12.772614,11.602692,10.622223
1981-06-10 06:00:00,10.079254,10.98941,7.8976135,8.423004,9.305817
1981-06-11 06:00:00,13.636627,12.939362,11.833893,12.247955,11.650299
1981-06-12 06:00:00,15.366608,14.845123,12.958405,14.296295,12.106842
1981-06-13 06:00:00,15.244171,16.373077,14.31839,13.498077,13.716827
1981-06-14 06:00:00,16.217316,18.779816,16.281769,17.24466,15.336456
1981-06-15 06:00:00,18.728424,18.597565,15.48819,15.849518,14.208893
1981-06-16 06:00:00,16.457306,18.85965,15.894806,16.779572,16.349884
1981-06-17 06:00:00,13.368195,15.75296,13.833038,12.624054,11.79007
1981-06-18 06:00:00,13.269196,15.636383,12.818024,12.173492,11.056305
1981-06-19 06:00:00,13.301666,14.879791,11.637604,11.707916,10.104401
1981-06-20 06:00:00,13.6493225,15.088776,12.2274475,12.584869,10.76651
1981-06-21 06:00:00,13.263702,15.931671,13.603546,12.00589,11.238312
1981-06-22 06:00:00,15.124664,16.53482,14.360992,13.72818,12.941071
1981-06-23 06:00:00,14.560944,14.4086,11.986725,13.144928,10.889069
1981-06-24 06:00:00,13.085114,13.383942,9.52652,11.637848,9.657379
1981-06-25 06:00:00,13.729767,13.743439,10.563751,12.542267,10.946564
1981-06-26 06:00:00,12.529694,12.773834,10.031647,11.7836,10.133209
1981-06-27 06:00:00,12.095123,12.315826,10.413483,11.075592,9.118561
1981-06-28 06:00:00,11.466217,10.979889,8.954498,10.149811,8.485748
1981-06-29 06:00:00,11.736481,10.646637,6.4806213,9.435699,7.1231995
1981-06-30 06:00:00,12.976227,12.655914,10.161774,11.064117,9.359039
1981-07-01 06:00:00,13.529327,15.0469055,12.845734,12.210968,11.320343
1981-07-02 06:00:00,13.349274,13.194977,13.00943,12.191071,11.405914
1981-07-03 06:00:00,12.819489,13.407379,11.077301,11.92691,9.923004
1981-07-04 06:00:00,14.341217,14.456451,12.804108,13.739655,12.43692
1981-07-05 06:00:00,14.38736,13.877594,13.5104065,13.531891,12.621735
1981-07-06 06:00:00,14.733673,13.239532,11.411407,13.303986,11.651642
1981-07-07 06:00:00,15.106598,13.198395,13.796051,12.524567,13.157379
1981-07-08 06:00:00,14.60733,15.097565,14.734283,14.035065,14.486237
1981-07-09 06:00:00,14.180817,14.872223,13.335114,13.829254,12.165192
1981-07-10 06:00:00,13.4548645,13.30838,11.784943,12.08963,10.909943
1981-07-11 06:00:00,13.902618,13.873322,10.886993,12.461212,10.699493
1981-07-12 06:00:00,16.21585,15.764679,12.493195,15.043976,12.667023
1981-07-13 06:00:00,16.546417,17.09134,13.61087,15.907745,14.2690735
1981-07-14 06:00:00,16.739532,18.08133,15.649689,16.491486,15.585236
1981-07-15 06:00:00,16.043854,17.82315,14.657135,15.475494,14.870026
1981-07-16 06:00:00,15.4844055,17.517609,15.117218,14.496124,13.959015
1981-07-17 06:00:00,15.864166,16.262604,14.184479,15.20401,14.387604
1981-07-18 06:00:00,14.011017,13.714142,11.145782,12.602814,10.807892
1981-07-19 06:00:00,13.4305725,13.092682,8.241119,11.6336975,9.815338
1981-07-20 06:00:00,14.125641,14.8229065,11.358063,12.451813,10.445953
1981-07-21 06:00:00,15.147369,16.352448,13.596588,13.936432,13.301666
1981-07-22 06:00:00,15.065338,15.530182,14.010651,14.364166,13.864166
1981-07-23 06:00:00,13.984039,13.79068,12.523102,12.519196,10.913727
1981-07-24 06:00:00,13.3072815,12.51236,11.04361,11.539703,9.97525
1981-07-25 06:00:00,12.015778,12.043121,7.0314026,9.322418,6.7501526
1981-07-26 06:00:00,13.187408,13.521393,9.986237,10.724518,8.910065
1981-07-27 06:00:00,15.770416,17.48526,13.135651,13.782135,11.784088
1981-07-28 06:00:00,17.30423,18.640167,15.349152,16.534698,14.130402
1981-07-29 06:00:00,17.948883,16.81607,19.876617,18.300446,16.69107
1981-07-30 06:00:00,16.421173,15.370392,19.48758,15.51297,17.743439
1981-07-31 06:00:00,15.569244,15.262604,14.465729,14.36026,13.551666
1981-08-01 06:00:00,16.01236,15.717438,15.1822815,15.4791565,14.5885315
1981-08-02 06:00:00,15.420319,14.789459,12.93985,14.342194,13.0746155
1981-08-03 06:00:00,14.6214905,14.711334,11.935944,12.697662,11.299225
1981-08-04 06:00:00,16.978668,17.814606,15.216949,16.252106,15.019684
1981-08-05 06:00:00,17.605743,18.181915,15.98465,17.236603,16.269806
1981-08-06 06:00:00,16.621735,17.760406,16.6315,16.348297,15.701813
1981-08-07 06:00:00,15.244659,16.055206,14.45755,14.787628,13.826691
1981-08-08 06:00:00,15.29776,14.5243225,11.92276,14.014557,11.662994
1981-08-09 06:00:00,14.318512,15.103668,12.384918,13.300934,12.970856
1981-08-10 06:00:00,15.373444,15.547272,13.1683655,14.1683655,13.226959
1981-08-11 06:00:00,15.28653,16.419342,14.206451,13.938873,13.106842
1981-08-12 06:00:00,15.900787,16.885162,16.260162,14.486725,13.959381
1981-08-13 06:00:00,15.949982,16.43045,13.946075,13.850372,13.559357
1981-08-14 06:00:00,16.896393,17.099518,15.099518,16.25772,14.865143
1981-08-15 06:00:00,16.800446,19.021149,19.013336,17.167633,15.464508
1981-08-16 06:00:00,18.960724,16.93924,17.950958,18.704865,17.941193
1981-08-17 06:00:00,18.289215,16.722809,17.744293,17.95523,16.769684
1981-08-18 06:00:00,17.675446,14.737946,16.355133,17.318024,16.568024
1981-08-19 06:00:00,16.394928,13.619537,15.4711,15.7836,15.529694
1981-08-20 06:00:00,16.508575,15.959747,14.813263,15.7742,14.438263
1981-08-21 06:00:00,16.840485,15.268219,11.371735,15.7916565,13.6354065
1981-08-22 06:00:00,14.398346,14.361237,9.88858,12.597565,11.199127
1981-08-23 06:00:00,15.2135315,16.408844,12.084625,13.8229065,12.283844
1981-08-24 06:00:00,16.70987,16.512604,16.383698,14.125885,14.811432
1981-08-25 06:00:00,16.145538,15.901398,14.532257,14.538116,14.331085
1981-08-26 06:00:00,15.894928,18.236725,16.8461,15.330475,13.475006
1981-08-27 06:00:00,16.03897,15.779205,19.177643,15.55069,14.781158
1981-08-28 06:00:00,15.832062,15.248077,14.990265,15.416046,15.191437
1981-08-29 06:00:00,17.108429,15.864288,13.399445,15.66507,14.088898
1981-08-30 06:00:00,15.903961,15.407867,14.474274,15.187164,13.843414
1981-08-31 06:00:00,14.191559,15.064606,14.705231,13.552887,13.021637
1981-09-01 06:00:00,14.2447815,11.852203,11.289703,12.686188,11.711578
1981-09-02 06:00:00,14.684479,13.920807,14.502838,14.100494,14.496979
1981-09-03 06:00:00,16.575592,15.456451,12.620514,14.06778,14.616608
1981-09-04 06:00:00,16.721588,17.098541,13.39151,14.504791,12.39151
1981-09-05 06:00:00,16.467194,16.437897,14.348053,15.404694,13.041412
1981-09-06 06:00:00,17.178864,15.973785,15.55191,14.251129,15.934723
1981-09-07 06:00:00,15.82547,14.694611,14.532501,13.91922,12.798126
1981-09-08 06:00:00,16.619781,15.420563,14.352203,15.008453,13.496735
1981-09-09 06:00:00,16.935211,14.691071,13.403961,16.163727,15.093414
1981-09-10 06:00:00,16.02237,14.584869,12.955963,14.434479,12.1805725
1981-09-11 06:00:00,14.031525,14.750275,13.752228,12.429962,11.898712
1981-09-12 06:00:00,14.722321,13.726227,11.735992,13.646149,11.913727
1981-09-13 06:00:00,14.650543,11.248199,9.589996,11.736481,10.418121
1981-09-14 06:00:00,11.971588,11.776276,13.059479,9.973541,9.26651
1981-09-15 06:00:00,13.915924,14.86319,11.619049,12.650299,11.417877
1981-09-16 06:00:00,12.898102,15.306305,12.386383,11.558258,11.112946
1981-09-17 06:00:00,15.369171,16.673859,15.626984,14.7812805,14.398468
1981-09-18 06:00:00,17.14798,16.649933,16.458527,16.108917,15.521027
1981-09-19 06:00:00,15.763092,15.268951,13.954498,14.390045,12.891998
1981-09-20 06:00:00,17.92862,17.287994,16.743073,16.717682,15.963776
1981-09-21 06:00:00,12.953033,12.14444,9.92569,10.677643,9.273346
1981-09-22 06:00:00,12.943268,12.187408,11.660065,11.037018,10.48819
1981-09-23 06:00:00,11.953033,10.410065,7.527252,8.45108,7.085846
1981-09-24 06:00:00,13.321442,11.936676,9.440582,11.456207,8.786285
1981-09-25 06:00:00,13.569733,13.847076,12.153717,12.393951,10.804108
1981-09-26 06:00:00,11.689117,12.589508,9.343414,10.585602,7.8121643
